,city,timestamp,temperature,wind,humidity,dew_point,pressure,uv_index,O3_aqi,O3_medida,CO_aqi,CO_medida,NO2_aqi,NO2_medida,PM10_aqi,PM10_medida,PM2_5_aqi,PM2_5_medida,SO2_aqi,SO2_medida,polluted
0,fernandopolis,2025-05-25 17:00,29.0,8.0,36.0,13.0,1015.0,0.0,44.0,83.23,1.0,140.0,3.0,5.33,2.0,2.23,9.0,2.18,1.0,1.0,0
1,ribeirao_preto,2025-05-25 17:00,28.0,5.0,33.0,10.0,1018.0,0.0,41.0,89.05,1.0,200.0,4.0,7.46,6.0,7.14,30.0,7.01,1.0,1.9,1
2,sao_paulo,2025-05-25 17:00,23.0,0.0,57.0,14.0,1020.0,0.0,74.0,125.63,2.0,260.0,8.0,16.52,13.0,11.24,53.0,13.29,4.0,9.17,1
3,porto_alegre,2025-05-25 17:00,23.0,5.0,77.0,18.0,1016.0,0.0,31.0,84.67,1.0,140.0,1.0,3.45,6.0,6.4,28.0,6.29,1.0,3.01,1
4,rio_de_janeiro,2025-05-25 17:00,24.0,13.0,74.0,19.0,1019.0,0.0,41.0,87.0,1.0,160.0,4.0,8.71,13.0,13.69,45.0,9.92,1.0,3.56,1
5,manaus,2025-05-25 17:00,31.0,5.0,68.0,24.0,1011.0,2.0,19.0,43.69,1.0,130.0,1.0,1.09,7.0,6.54,29.0,7.88,1.0,1.03,1
6,belo_horizonte,2025-05-25 17:00,23.0,10.0,52.0,12.0,1022.0,0.0,39.0,63.85,1.0,150.0,5.0,9.09,5.0,6.12,23.0,5.76,1.0,1.96,0
7,fortaleza,2025-05-25 17:00,28.0,27.0,79.0,24.0,1012.0,0.0,25.0,49.64,1.0,100.0,1.0,1.6,6.0,7.11,17.0,4.68,1.0,1.0,0
8,campo_grande,2025-05-25 17:00,30.0,13.0,40.0,15.0,1016.0,1.0,35.0,71.7,1.0,120.0,1.0,1.27,1.0,1.52,5.0,1.47,1.0,1.0,0
9,curitiba,2025-05-25 17:00,21.0,10.0,70.0,16.0,1021.0,0.0,36.0,77.3,1.0,160.0,4.0,7.29,6.0,8.51,25.0,6.9,1.0,2.41,0
10,fernandopolis,2025-05-25 18:00,27.0,6.0,42.0,13.0,1015.0,0.0,44.0,77.35,1.0,160.0,5.0,9.01,3.0,3.67,12.0,3.61,1.0,1.0,0
11,ribeirao_preto,2025-05-25 18:00,26.0,5.0,38.0,11.0,1018.0,0.0,43.0,72.11,1.0,300.0,9.0,18.12,8.0,11.93,37.0,11.24,1.0,2.45,1
12,sao_paulo,2025-05-25 18:00,21.0,10.0,65.0,14.0,1021.0,0.0,84.0,91.28,2.0,340.0,17.0,32.11,12.0,11.79,53.0,12.72,6.0,9.9,1
13,porto_alegre,2025-05-25 18:00,21.0,5.0,84.0,18.0,1016.0,0.0,33.0,83.11,1.0,140.0,2.0,4.71,6.0,8.49,31.0,8.42,1.0,3.55,1
14,rio_de_janeiro,2025-05-25 18:00,24.0,14.0,79.0,20.0,1019.0,0.0,42.0,69.51,1.0,200.0,8.0,16.7,13.0,14.4,44.0,10.38,1.0,3.83,1
15,manaus,2025-05-25 18:00,28.0,3.0,76.0,23.0,1010.0,0.0,19.0,43.17,1.0,140.0,1.0,1.43,6.0,3.48,29.0,6.9,1.0,1.06,1
16,belo_horizonte,2025-05-25 18:00,21.0,10.0,58.0,12.0,1022.0,0.0,39.0,63.85,1.0,150.0,5.0,9.09,6.0,6.3,23.0,5.7,1.0,1.96,0
17,fortaleza,2025-05-25 18:00,28.0,27.0,80.0,24.0,1012.0,0.0,25.0,49.64,1.0,100.0,1.0,1.6,6.0,7.11,17.0,4.67,1.0,1.0,0
18,campo_grande,2025-05-25 18:00,28.0,10.0,45.0,16.0,1016.0,0.0,36.0,59.87,1.0,130.0,2.0,4.4,1.0,2.13,7.0,2.11,1.0,1.0,0
19,curitiba,2025-05-25 18:00,18.0,10.0,81.0,15.0,1022.0,0.0,37.0,57.43,1.0,220.0,8.0,16.89,6.0,7.88,28.0,7.48,1.0,2.68,1
20,fernandopolis,2025-05-25 19:00,24.0,5.0,50.0,13.0,1015.0,0.0,44.0,77.35,1.0,160.0,5.0,9.01,3.0,3.89,12.0,3.5,1.0,1.0,0
21,ribeirao_preto,2025-05-25 19:00,24.0,8.0,46.0,12.0,1019.0,0.0,43.0,59.39,1.0,370.0,12.0,24.28,13.0,19.81,54.0,17.91,1.0,2.84,1
22,sao_paulo,2025-05-25 19:00,19.0,14.0,78.0,16.0,1021.0,0.0,80.0,62.2,2.0,420.0,25.0,46.13,15.0,20.83,53.0,13.6,6.0,10.85,1
23,porto_alegre,2025-05-25 19:00,21.0,2.0,85.0,18.0,1016.0,0.0,35.0,81.31,1.0,150.0,3.0,5.94,10.0,15.28,47.0,15.22,1.0,4.07,1
24,rio_de_janeiro,2025-05-25 19:00,23.0,8.0,84.0,20.0,1020.0,0.0,41.0,55.6,1.0,240.0,11.0,22.78,13.0,15.33,50.0,13.28,1.0,4.17,1
25,manaus,2025-05-25 19:00,27.0,2.0,84.0,24.0,1010.0,0.0,20.0,42.54,1.0,140.0,1.0,1.87,5.0,4.64,26.0,5.79,1.0,1.08,1
